ts,run_id,order_id,activity,state,battery_percent,temperature_c,condition_percent,payload_kg,motor_load,speed,distance_delta_m,cumulative_distance_m,cumulative_energy_wh
1786104211.7325366,run_20260807_140327,,idle,idle,100.0,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1786104211.7438874,run_20260807_140327,,idle,idle,100.0,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1786104214.5125015,run_20260807_140327,,idle,idle,100.0,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1786104216.984264,run_20260807_140327,,idle,idle,100.0,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1786104219.4221213,run_20260807_140327,,charging,charging,100.0,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1786104221.760204,run_20260807_140327,,charging,charging,100.0,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1786104224.7750952,run_20260807_140327,,charging,charging,100.0,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1786104227.6064565,run_20260807_140327,,charging,charging,100.0,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1786104229.8879423,run_20260807_140327,,charging,charging,100.0,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1786104232.3946452,run_20260807_140327,,charging,charging,100.0,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1786104235.261882,run_20260807_140327,,charging,charging,100.0,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1786104237.7172563,run_20260807_140327,,charging,charging,100.0,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1786104240.30517,run_20260807_140327,,charging,charging,100.0,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1786104243.1039228,run_20260807_140327,15,working,working,99.756,25.359,99.999,0.0,1.0,0.493,0.2794,0.279,0.0978
1786104245.7567253,run_20260807_140327,15,working,working,99.31,28.364,99.997,0.0,1.0,0.498,0.5079,0.787,0.2758
1786104248.4737606,run_20260807_140327,15,working,working,98.876,31.278,99.996,0.0,1.0,0.5,0.4896,1.277,0.4495
